,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,No_of_Votes,Gross,Dir_class,IsScored,Cast_class
523,1993,0,144,1,7.9,201.0,36.948322,1,True,1
524,1990,2,105,0,7.9,447.368,56.362351999999994,0,True,0
525,1989,2,103,1,7.9,68.07600000000001,14.743390999999999,0,True,0
526,1989,1,104,0,7.9,54.67,18.254701999999998,3,True,0
527,1987,0,119,1,7.9,281.842,76.270454,0,True,2
528,1986,1,107,0,7.9,67.176,40.084041,3,True,1
529,1985,2,132,0,7.9,187.567,9.929134999999999,0,True,1
530,1984,0,82,1,7.9,128.812,0.188751,0,True,0
531,1983,2,93,1,7.9,132.947,20.605209,0,True,0
532,1980,2,133,1,7.9,183.18200000000002,57.22989,0,True,0
533,1979,0,96,0,7.9,131.436,45.699999999999996,1,True,1
534,1979,0,123,2,7.9,28.223,37.823676,0,True,0
535,1978,0,127,1,7.9,111.512,5.1,0,True,0
536,1976,2,138,2,7.9,103.031,70.6,0,True,1
537,1973,0,114,0,7.9,37.183,0.061001,0,True,0
539,1972,2,102,0,7.9,38.737,0.19880899999999999,1,True,0
542,1970,2,172,1,7.9,93.741,61.699999999999996,0,True,0
543,1969,0,145,2,7.9,77.401,12.064472,0,True,1
544,1968,0,96,1,7.9,116.557,0.089029,0,True,0
546,1967,2,110,1,7.9,67.804,24.379977999999998,0,True,0
547,1963,2,113,0,7.9,68.68900000000001,13.474587999999999,0,True,2
549,1960,0,197,0,7.9,124.339,30.0,1,True,1
555,1952,2,85,0,7.9,97.22200000000001,9.45,0,True,0
556,1951,0,101,1,7.9,123.34100000000001,7.63,3,True,0
558,1947,2,96,0,7.9,41.625,2.65,0,True,0
559,1946,2,102,1,7.9,92.306,10.464,3,True,1
564,1938,2,102,0,7.9,47.175000000000004,3.981,0,True,0
566,1933,1,100,1,7.9,78.991,10.0,0,True,0
572,2016,1,124,0,7.8,51.24,2.4020669999999997,2,True,0
573,2017,1,106,0,7.8,555.092,188.37316099999998,3,True,1
575,2016,1,127,2,7.8,200.876,169.60728699999999,0,True,0
576,2017,2,103,1,7.8,61.594,40.442052,0,True,0
578,2016,2,101,2,7.8,118.035,48.023088,0,True,1
580,2016,1,137,0,7.8,246.963,47.695119999999996,0,True,0
581,2015,0,100,1,7.8,35.539,0.435266,0,True,0
582,2016,1,133,2,7.8,556.6080000000001,532.177324,0,True,0
583,2016,1,147,2,7.8,663.649,408.084349,0,True,3
584,2015,0,168,1,7.8,517.059,54.117416,3,True,2
585,2019,2,135,1,7.8,143.25,108.101214,0,True,1
586,2017,1,94,0,7.8,50.778,6.735118,0,True,0
588,2013,1,130,0,7.8,45.002,1.330596,1,True,0
589,2013,0,141,0,7.8,81.125,2.8524,0,True,0
590,2013,2,104,1,7.8,50.523,4.2315,0,True,0
592,2014,2,102,2,7.8,410.983,222.527828,0,True,0
593,2013,0,123,0,7.8,303.032,15.322921,0,True,1
595,2013,1,126,0,7.8,73.69,5.20958,3,True,0
596,2019,2,100,2,7.8,203.177,434.038008,0,True,3
597,2013,0,131,1,7.8,108.399,0.085433,1,True,1
598,2012,0,94,0,7.8,318.789,45.512465999999996,2,True,2
599,2014,2,102,2,7.8,305.611,177.00292399999998,0,True,1
600,2015,0,130,0,7.8,362.942,70.25986999999999,0,True,3
602,2010,0,144,0,7.8,111.252,0.128392,0,True,0
603,2011,0,158,1,7.8,423.01,102.515793,3,True,2
604,2013,1,134,0,7.8,421.244,107.100855,1,True,3
606,2015,0,147,2,7.8,179.264,161.19778499999998,0,True,0
607,2009,0,129,1,7.8,52.758,0.547292,0,True,0
609,2013,1,161,1,7.8,601.408,258.366855,3,True,1
610,2009,1,144,1,7.8,68.715,2.222647,0,True,0
611,2009,0,152,1,7.8,208.994,10.09517,0,True,0
614,2010,1,116,2,7.8,340.584,93.617009,0,True,2
615,2008,0,90,1,7.8,564.791,145.000989,0,True,0
616,2008,1,94,1,7.8,190.748,9.030581,0,True,0
617,2007,0,86,1,7.8,110.656,9.439923,0,True,0
618,2012,1,169,1,7.8,757.3770000000001,303.003568,2,True,1
619,2007,0,122,0,7.8,30.827,0.7412829999999999,0,True,0
620,2007,0,123,1,7.8,251.37,50.927067,0,True,1
